,"Impact, Monitoring and Risk Assessment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1,Impact measurement,Are the long-term imapcts of the scheme's implementation systematically monitored? Have indicators been identified for the assessment of impacts?,"No / Yes (on request) / Yes, publicly","Red: The scheme does not systematically monitor the long-term impacts of ist work; Yellow: The scheme monitors impacs, but does not have set indicators and/or ist indicators are inadequate and/or the impacts are not assessed systematically; Green: The scheme monitors the impacts of its work using indicators of a high standard","Red, Yellow, Green","wird nur gezählt, wo es Angaben gibt u Resultat bezieht sich nur auf anwendbareFragen / Bereiche ",No systematic impact assessment.,"No, but in 2010 an impact study was conducted regarding BSCI in the food industry; ","No, ETI has conducted a thorough  long-term impact assessment in 2003 - 2006 on whether workers really benefit, including case studies on specific countries, Yet, regular impact assessments are not  conducted or published",No,No,No,"FLA is currently piloting
a new approach to reaccreditation
of member
companies previously
accredited by the
organisation with an
eye to a more robust
evaluation of impact
on working conditions.
FLA also conducts innovation
projects to
measure impacts, e.g.
gender equality in cocoa
production in Côte
d’Ivoire and child labour
in hazelnut production
in Turkey.","SAI is beginning to conduct impact assessments with the revision of the Standard and SAI's increased involvement through Social Fingerprint, a programme designed to measure and improve social performance",No,No. The system is currently under review,No,A FT Action Plan and Impact Assessment is required by each operation which will serve as a base for a more detailed internal monitoring on impact and progress.,"Yes; indicators pertain to enhanced access to fair trading conditions and fair prices for small producer organisations; increased investment in small producers, their organisations and communities; stronger, well managed organisations for small producers, etc.",FSC reports on impacts in accordance with ISEAL Impacts Code which requires an analysis of short-term and long-term outcomes. Reports on the results of their evaluations are available publicly.,"Yes, indicators are
coffee yield change;
perceived production
costs and change in
costs; information regarding
coffee market;
perceived negotiation
capacity or stability of
relationships; perceived
changes in income/
salaries; price differential;
occupational
health; housing conditions;
food availability;
school access and occurrence
of child labour
during school time;
active participation in
organisation; work contract;
perceived quality
of natural resources;
erosion; pesticides use
change and toxicity;
and, carbage, wage disposal
practice. GCP is currently (during 2017) underdloing revision, including definition of impact measurement",MSC reports on impacts in accordance with ISEAL Impacts Code which requires an analysis of short-term and long-term outcomes. Reports on the results of their evaluations are available publicly.,"Yes, indicators pertain to biodiversity conservation; effective production of crops and livestock; improved livelihoods for local communities; and, effective management enabling adaptation to changing conditions",An RSPO impact report is published biannually in accordance with ISEAL requirements.,"Yes, indicators are: long-term economic viability and increased resilience of farms; farmers make a living income & have a decent standard of living, workers earn a living wage; better health; children go to school; natural resources are safeguarded; reduced GHG emissions; and contribution to biodiversit y protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.1,,,,,,detailed scoring,0,1,1,0,0,0,1,1,0,0,0,2,2,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.2,Adaptive management,Does the scheme owner use the results of monitoring and evaluation for learning and improvements to its programme and are results from M&E made available?,"No / Yes (on request) / Yes, publicly","Red: The scheme does not feed in the results of monitoring & evaluation in its internal processes ; Yellow:  The scheme regularly feeds in the results of monitoring & evaluation in its internal processes, e.g. records of inclusion on the agenda of meetings, policy for when results are considered; Green: The scheme regularly feeds in the results of monitoring & evaluation in its internal processes and those information are made publicaly available ","Red, Yellow, Green",,"yes,  but not publicly available (focus on sharing information within ist member network). Internal Monitoring through FTA Sustainability Dashboard which is available to all members. The system is used for benchmarking supply chain acitities and performance","yes, but not publicly available. Also internal monitoring is based on voluntary disclosure of information by its participants. common auditing protocol and programme; database platform where BSCI participants can map their supply chains, sharing information on suppliers and their auditing results; and a global capactiy building platform","yes, monitoring,e valuation and learning framework is key to the development of the scheme and documents like impact reports and evaluations are planned to published through International Aid Transparency Initiative (IATI)","yes, but not publicly available (only for participants with access to the intenal data base)",No,"Yes, but sustainability reports are publicly accessible in the Sustainability Disclosure Database only on a voluntary basis",The scheme regularly feeds in the results of monitoring & evaluation in its internal processes and those information are made publicaly available ,No documented procesures,"No, but eexternal stakeholders are encouraged to participate in the development and review process of the FSA)",No,No,"Yes, systematic and continuous improvement, regular revision process based on multi-stakeholder participation and benchmarking against GSCP in order to identify strength and potentials for improvements","Regular monitoring and evaluation, including the publishing of results",FSC has a Monitoring and Evaluation programme since 2013 which serves two main purposes: One is organizational learning; the other is communication of outcomes and impacts reports available. All related documents are available on the website.,see above,"The M&E program focuses on critical information needs and research gaps associated with the environmental impacts and commercial reach of MSC certification. Data and information gathered and analysed are used to inform management decisions; promote the benefits of the MSC program to stakeholders, funders and consumers; underpin continual improvement; and, demonstrate credibility of the MSC program.","yes, regular monitoring and evaluation and public reporting","yes, regular monitoring and evaluation, including public reporting","yes, regular monitoring and evaluation which is also used to further develop the standard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.2,,,,,,detailed scoring,1,1,2,1,0,1,2,0,0,0,0,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3,Risk Assessment,"Risk Assessment, Environmental or Human Rights Due Diligence",Are the companies that are being audited required to undertake either human rights due diligence or systematic risk assessments in their supply chain? The question does not apply to primary production,"Red: The companies that are being audited are not required to exercise human rights due diligence or systematic risk assessments; Yellow: The compaanies that are being audited have been advised to exercise human rights due diligence or systematic risk assessments, but this is not monitored; Green: The companies that are being audited are required to exercise huamn rights due diligene or systematic risk assessments.","Red, Yellow, Green",,"Supply Chain Analysis includes risk assessment but only part of self-assessment, and only limited scope","Risk assessment primarily conducted on health and security, discrmination, and corruption. No explicit tools for human rights due diligence throuhout the whole supply chain","Yes, ETI urges all member companies to conduct human rights due diligence and has adopted a holistic framework for implementing due dilgence throughout the supply chain","Written risk assessments, focusing on workers’ health and safety, but no human rights due diligence; Also each producer has a wildlife management and conservation plan that acknowledges the impact of farming on the environment, environmental risk assessments are conducted.","Risk assessments to identify risk to workers’ rights, safety and welfare at least for first tier or direct supplier, including kay stakeholder input
Human rights impact assessments within supply chain, including refined risk assessment methodology to identify issues at lower levels of the supply chain is considered as “advanced step” in Reference tool on Supply Chain Social Perfomance Management Systems.
",N.A.,"In selecting factories
for assessment by
FLA, FLA assigns risk
weights to countries
depending on the local
labour rights environment.
As a result, factories
in high risk countries
(e.g. Bangaladesh,
China are oversampled
in the selection.","Yes, human rights due
diligence over supply
chain, including the
selection of new suppliers/
subcontractors,
private employment
agencies and subsuppliers
is required.
Performance related to
this requirement is assessed
during the audit.",N.A.,"No. However, SGF/IRMA
Code of Conduct requires
that IRMA certified
suppliers transmit
social standards to
their fresh fruit suppliers
and packaging
houses. The process is
currently under review.",N.A.,The Standard requires compliance with standard requirements (including human rights) along the entire supply chain. No explicit human rights due diligence mechanism.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.3,,,,,,detailed scoring,1,1,2,1,1,,1,2,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scoring with points (Green = 2; Yellow = 1; Red = 0; Grey =  No scoring),,,,Max Score = 6,,2,3,5,2,1,1,4,3,0,1,0,5,4,3,4,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sustainability Audits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.1,Control Bodies,Who monitors the implementation of criteria?,,Red: The compnay that is being audited monitors its own activities through self-assessment (first-party monitoring) or no compolsury second- or third-party audit; Yellow: Audits are realised through second-party; Green: Audits are conducted by a third-party service provider or a independent verification.,"Red, Yellow, Green",,Self-assessment,Third-party service provider,"second-party (ETI board randomly checks 20% of annual reports - no ETI audits, but ETI suggests independent verification bodies to member companies",Third-party service provider,"N.A., because the standard is neither a monitoring initiative, nor will it undertake accreditation or certification activities","Reporting is not based on audits, but on modular standards, comprising requirements, recommendations, and guidane","Member companies
monitor production facilities,
FLA monitors
member companies and independent verification.",Third-party service provider,"Self-assessment. If a company is going to make public claims about the FSA per
formance score (bronze/silver/gold) of their suppliers  using 
Option 1, verification 
by third-party auditing is
required",The auditor will yearly check compliance of one social and one environmental criterion during the regular SGF audit. In the certificate (regarding sustainability aspects) SGF certifies 1) commitment to the standard and 2) compliance in two selected control points (no child labour in the factory; waste water treatment in place).,Third-party service provider,Third-party service provider,Third-party service provider,Third-party service provider,Producer managing units submit annual self-assessments to Coffee Assurance Services; self-assessments are verified every three years by third party service providers.,third-party service provider,Third-party service provider,Third-party service provider,Third-party service provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.1,,,,,,detailed scoring,0,2,1,2,,0,2,2,0,0,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.2,Audit frequency ,At least how often do clients undergo a full audit process?,1 year or less / 1-2 years / 2-3 years / 4-5 years / 5 years or more / Not applicable,"--> Only applicable if the scheme requires audits. This question does not apply to CoC audits.

- The scheme owner defines this requirement in certification requirements/methodologies, or in the contract/agreement between the scheme owner and the AB, or in a separate accreditation manual 

This question refers to external audits. In a full audit process, all requirements of the standard and the whole system of the client that is to be assessed are verified. This would usually include re-certification audits but not necessarily surveillance audits in case these are less rigorous. In the response, state the least possible frequency, i.e. if an interval can be skipped for certain clients, e.g. based on a risk assessment, the frequency shall be reduced (see also criterion on risk-based audit frequency)",No scoring,No scoring,N.A.,"every 2 years, depending on scoring also more often","ETI does not carry out -audits and -verifications, but recommends the member companies only independent verifying authorities",Annual announced and unannounced third-party audits,"no requirements for regular audits,see above",N.A.,"FLA member companies
are required to
submit five percent of
their applicable supply
chain to annual assessment
by the FLA
– these are physical
audits.","Semi-annual surveillance audits are conducted; at least one 
in the first three years must be unannounced ",Only if company wishes to make claims about FSA performance,Annual,annual audits from accredited third-party auditors,"annual complete on-site audit, conducted by an independent third-party","annual surveillance audits, and re-assessment should commence by the fourth
anniversary of an existing certificate, so that the new
certificate can continue from the five year expiry of the
existing certificate.",annual third party audits,3 year field verfication cycle and annual update by 4C Units,"annual audits, full auditing and certification process every 5 years","two audits within 3 year certification period, third party audit","physcial audit every 5 years, annual surveillance audit, third party audits by ASI",annual audits by third party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.2,,,,,,detailed scoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.3,Interview with workers,Does the auditing process involve interviews with workers? Are interviews carried out on-site or off-site?,,"Red: Interviews with workers are not a compulsory part of audits. Yellow: Workers are interviewed as part of the audit process, but the interviews is carried out mainly on-site at the production facility. Green: Workers must be interviewed as part of the audit process. Interviews or at least some of the interviews must be carried out off-site or without management beeing present","Red, Yellow, Green",counts double,No,"Yes, auditors must interview
management,
particularly managers
in charge of Human
Resources and Occupational
Health and
Safety (OHS), workers’
representative, internal
auditors and workers.
Interviews can be
conducted on-site or
off-site.",N.A. (no audits by ETI),"No, GRASP auditor also conducts an interview with the workers’ 
representative, but not with the workers","No, the scheme is a voluntary best practice reference tool. Worker interviews are mentioned as part of the GSCP Social Performance Management System, but no specification whether on- or off-site",N.A.,"FLA audit methodology, Sustainable Compliance
Initiative, requires interviews with workers but location is not
specified. FLA audit methodology is used by FLA audit teams.
Member companies are strongly encouraged (but not required) to
use FLA audit methodology and audit teams for assessing their suppliers'
compliance.","Yes, offsite interviews are not mandatory, but should be especially considered in case of suspected serious infringement of workers rights",No,No,N.A. (no social criteria),"Yes, balanced representation (contract types, gender, etc.) and interview take place in formal (e.g. meeting room) or informal setting (e,g. workplace) without any management or supervisory staff being present. Offsite interviews are not mandatory, but should be especially considered in case of suspected serious infringement of workers rights","Yes, location is not
specified but should
enable confidentiality
and anonymity.","Yes, location is not
specified but should
enable confidentiality
and anonymity.","Yes, location is not
specified but should
enable confidentiality
and anonymity.",No explicit provisioning- Interviews with fishery management and stakeholders. Interview with employees only to assess their level of competency in carrying out procedures or duties related to the standard.,"Yes, location is not
specified but the auditors
must be able to
interview workers without
management being
present.","Yes, most interviews
with workers are conducted
on-site.","Yes, on-site",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.3,,,,,,detailed scoring,0,1,0,0,0,0,1,2,0,0,0,2,2,2,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.4,Stakeholder participation in audit,Are auditors required to solicit external stakeholder input (like local trade unions or NGOs) during the audit process?,No / Yes / Not applicable,"--> Only applicable if the scheme requires audits. This question does not apply to CoC audits. Red: External stakeholder from local trade unions and/or NGOs during audit process input is not required; Yellow: External stakeholder input from local trade unions and/or NGOs is recommended/optional during audits; Green: External stakeholder input from local trade unions and/or NGOs is required during audits

","Red, Yellow, Green",counts double,N.A.,No,N.A. (no audits by ETI),No,N.A.,N.A.,External stakeholder input is required during audits,No,No,No,no,Yes (in part): Auditors may contact local organizations and officials and conduct interviews with neighbors and third-parties to further validate the findings of the audit,"yes (in part), possible: External interview partners like union representatives are selected on a case by case situation.”, “The auditor is always free to choose more interview partners.”",no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3.4,,,,,,detailed scoring,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scoring with points (Green = 2; Yellow = 1; Red = 0; Grey =  No scoring),,,,Max Score = 10,,0,3,1,2,0,0,5,4,0,0,2,5,5,4,4,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supporting Strategies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.1,Supporting Strategies,"Compliance Technical Assistance, beyond technical and Access to finance",Does the scheme provide access to technical assistance for compliance with the standard?  Does the scheme provide access to technical assistance beyond compliance with the standard? Does the scheme provide access to finance for enterprises seeking certification?,Red: If no system or strategy is provided. ,No scoring,No scoring,"BEPI offers technical assistance and training for both participants and producers, particularly on BEPI implementation. ",BSCI offers technical assistance and trainings to increase suppliers’ knowledge and skills with regard to social compliance. These training sessions are open for the suppliers of all BSCI Participants.,ETI offers free of charge trainings and guidance in implementing the criteria.,"yes, access to GLOBALG.A.P data base and all ist tools, access to customized statistics, and client-based monitoring tools of the database, trainings","offers a suite of open source  best practice Reference tools (for social, environment, and auditing)","offers reporting principles, services to support reporting organizations as well as training and coaching","FLA provides assistance
to companies
in developing specific
company action plans
in response to an assessment.",SAI provides free of charge online access to information and documents that help companies understand the requirements of the SA8000 standard. SAI also offers a wide range of services and technical assistance including workshops and training seminars - See more at: http://www.standardsmap.org/review.aspx?standards=58#sthash.XBzTz4wh.dpuf,"Yes, SAI Platfomr's Principles and Practices are available on the website, annual seminars and sunstainability webinars to member companies and interested stakeholders, specific training modules (e.g. on implementing sunstainable agricultural practices)",no,no,"is no financial support to operations seeking certification foreseen by the scheme holder.  Standard requires the support of the producer operation by the Fair Trade buyer in terms of long-term partnership, definition of volume forecast, definition of floor prices and regular communication and support between buyer and producer. 
In case of buying from small-holders, the Fair Trade buyer needs to grant pre-payment if requested.
","yes,financial support and conulting concerning standard implementation as well as various cooperation programmes",no,"no info, because currently under transition","yes, several capacity building programmes and improvement tools",SAN provides free of charge online support services including learning modules and access to information on certification process. Training activities for producers are also facilitated in some countries by SAN members.,"training and education programmes, funding provisions","yes, through training and capactiy building",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.1,,,,,,detailed scoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Traceability, Transparency & Consumer Communication",,,,,,,,,,,,to companies,,,currently under review.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.2,Traceability Supply Chain,Does the scheme have a traceability system that enables checking of product flow between links of the supply chain?,No / Yes / Not applicable,"--> only applicable if claims are made regarding the origin of certain ingredients or products (CoC is required)

Red: There is no traceability system that enables checking the product flow between links of the supply chain,Yellow: A traceability system is in place but it is (1) not OR only in part publicly available or (2) based on mass Balance only ; Green: A traceability system schelf to farm is in place, compulsory and publicly available (e.g. on website).","Red, Yellow, Green","wird nur gezählt, wo es Angaben gibt u Resultat bezieht sich nur auf anwendbareFragen / Bereiche","The internal BEPI Platform is designed to support members to map their supply chains beyond tier 1. The BEPI System provides the tools to reach out to the beyond tier 1 facilities, do a gap analysis and where needed deploy improvement activities. ","There is no traceability system that enables checking of product flow between links of the supply chain, only vis-a-vis compliance to the BSCI code by the company, its contractors and subcontractors.",N.A.,"Yes, the database stores and connects the assessment and certification data, the GLOBALG.A.P. Number (GGN), a 13-digit number uniquely identifies each producer and individual member of a producer group in the GLOBALG.A.P","No, a traceability system is not part of the reference code",N.A.,A traceability system is in place.,N.A.,No,"Yes, but only internal and not publicly available","yes, but not publicly available","yes, but not publicly available","yes, traceability of origin through Fair Trade Code on website","yes, there is a unique license number on every certified product or on its invoice, which provides the ability to trace back the product to its least manufacturing company.","yes (in part), but not publicly availble, license number serves the purpose to track volumes of coffee between 4C unit and final buyer.","Yes, all of the 
indicators used to measure fishery and traceability
performance are included in the 
annual Global Impacts Report.  
These indicators were developed through a transparent and 
inclusive process of stakeholder consultation, and have been updated in response to multiple 
rounds of stakeholder feedback and scruti
ny.  Not publicly availble","Yes, physical seperation, tracking and documentation of the product at every stage of the supply chain, but not publicly available","yes, but mixing of certified and non-certified products is partly allowed.  RSPO PalmTrace for members on website available. Information can be requested from the processor through the license number ","yes, direct for mono products and indirect for processed products.  UTZ’s Good Inside Portal is accessible online for members",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4.2,,,,,,detailed scoring,1,1,0,2,0,0,1,0,0,1,1,1,2,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
