Introduction,,,,,,,,,,,,,,,,,,,,
What?,,,Product and production stages ,,,,Standard setting / scheme management - Credibility (1st dimension),,,,Environmental criteria (2nd dimension),,,Social criteria (3rd dimension),,,Logo on Product,Pocket-size summary,,
SAI Platform,SAI - Platform,"The SAI Platform is a corporate-driven initiative that was founded by Nestlé, Unilever and Danone in 2002. It aims at ensuring a constant, increasing and safe supply of agricultural raw materials. The primary pillars of their work are capacity building for members and relevant stakeholders and communicating about sustainable agriculture towards food industries as well as food chain stakeholders. Currently, the platform counts more than 90 active and affiliate members, mostly comprising major brands and corporations, like Unilever, Coca-Cola, Cargill, McDonalds and Tesco. SAI Platform develops (or co-develops) tools and guidance to support global and local sustainable sourcing and agriculture practices. Examples of recently developed resources include: Practitioner’s Guide for Sustainable Sourcing; recommendations for Sustainability Performance Assessment (SPA); and the Farm Sustainability Assessment (FSA).","The SAI Platform Principles & Practices cover the food industry, including agricultural products such as, dairy products, fruits, meat, vegetables and grains and oilseeds.",,,,0,0,0,0,2,2,2,0,0,1,,red,yellow,red
SGF,SGF - Sure-Global-Fair ,"SGF International is a private-sector initiative of food juice industry. It works with a voluntary control system (FKS), primarily checking food safety and quality in accordance with legislation. The responsibility to fulfill related due diligence and to ensure legal compliance remains with the participant. SGF certifies companies who process fruits, bottling plants, traders and agents of fruit juice as well as transport companies and refrigerated warehouse. The organisation has developed from the Schutzgemeinschaft der Fruchtsaft-Industrie, which was founded in 1974. Currently more than 650 companies in 60 countries are members. ",,,,,0,1,0,1,no evaluation*,,,0,0,0,,red,no evaluation*,red
        Product Certification (b2C),,,,,,,,,,,,,,,,,"b2c initiatives (product certification), usually logo on product",,,
EU organic,EU Organic,"The label is a voluntary national organic certification program initiated and owned by the European Commission. It is based on the Council Regulation (EC) No 834/2007 of 28 June 2007 (and 889/2008) on organic production and labelling of organic products and repealing Regulation (EEC) No 2092/91. It has been implemented since July 2010 and has replaced the old European Organic label. The label aims at promoting organic farming in the EU, and signals to the consumer that at least 95% of the ingredients used in the processed organic food stems from organic origin and 5% considered an acceptable error margin. Requirements are checked by national systems of controls. In addition to the standard list of ingredients and nutritional value figures, organic product labels should bear the name of the producer, processor or distributor who last handled the item. The name or code number of the national certification and control authority is also indicated on the label.",,,,,1,0,2,3,4,4,0,no evaluation*,,,,red/yellow,yellow,no evaluation*
FFL,Fair for Life (FFL),"The Fair for Life Certification Programme has been jointly created in 2006 by the Swiss Bio-Foundation and the Institute for Marketecology (IMO). In September 2014 the ownership of the Fair for Life Programme was transferred from Bio-Foundation to IMOgroup AG. Fair for Life aims to support marginalised producers and workers worldwide to market their products under Fair Trade conditions, in particular smallholder producers who do not yet have access to the existing Fair Trade market. Fair for Life offers two different certification options: One is For Life – Social Responsibility Certification of either companies or products. The other is Fair for Life – Social & Fair Trade Certification of products for producers or traders. Fair for Life brand holder companies commit to fair sourcing practices and responsibilities towards their primary producers down the entire commodity chain. Fair for Life certification also confirms traceability of all certified products from production to sales. The standard was developed in accordance with ILO conventions, FLO standards, SA8000 and the ETI Base Code.",,,,,1,5,8,5,3,5,3,2,4,3,,green/yellow,green/yellow,green/yellow
Fairtrade,Fairtrade,"The first Fairtrade organisation was founded in 1988 in the Netherlands under the name of Max Havelaar. By now 24 other national Fairtrade organisations were founded, which are primarily responsible for national marketing. Since 1997 the international umbrella organisation Fairtrade International exists. It is the owner of various Fairtrade-Labels and develops the criteria. The Fairtrade standard for small farmers is product-independent and certifies small farmers (cooperatives). In addition to these criteria Fairtrade has developed product-specific standards that need to be met when producers aim for Fairtrade certification of these products.",,,,,4,4,8,4,3,4,2,3,6,4,,green,green/yellow,green
FSC,Forest Stewardship Council (FSC),"The Forest Stewardship Council (FSC) emerged as an initiative from a group of foresters and forest owners together with timber users, traders and representatives of unions, environmental and human rights organizations in the early 1990s who were concerned about accelerating deforestation, environmental degradation and social exclusion. It was formerly established in the aftermath of the UN Conference on Environment and Development in 1992 and officially founded as legal entity in 1994 in Mexico. FSC is an international membership association governed by its members. FSC sets standards for the development and approval of FSC Stewardship Standards which are based on the FSC Principles and Criteria. This FSC Standards are focusing on the forest management and in a Chain of Custody standard on how the wood is treated when it has left the forests. In addition, FSC sets standards for the accreditation of conformity assessment bodies that certify compliance with FSC’s standards. Currently, 1,442 FM certificates exist in 83 countries, covering a total area of 195,206,770 hectare. Additionally, more than 31,600 Chain of Custody certificates are valid at the moment.",,,,,4,3,6,6,1,3,0,2,1,1,,green/yellow,red/yellow mix,red/yellow mix
Global Coffee Platform (4C),Global Coffee Platform (4C),"The Global Coffee Platform (GCP) is a multi-stakeholder-initiative with a headquarters in Bonn. It is based on the 4C-Association and the Sustainable Coffee Program and currently undergoes transition with regard to the Baseline Common Code (BCC). The BCC is not an own standard, but a reference code which aims at ensuring comparability. 4C-Certification is currently conducted by the Coffee Assurance Services and is based on the BCC.",,,,,2,4,6,1,4,3,2,2,2,2,,yellow,green/yellow,yellow
MSC,Marine Stewardship Council (MSC),"The Marine Stewardship Council (MSC) is an international non-profit organization that was established in 1997 to address unsustainable fishing and safeguard seafood supplies for the future. The founding of the organization was initiated by WWF and Unilever. The MSC is an independent organization since 1999. MSC has developed an environmental standard for sustainable fishing and a Chain of Custody Standard for seafood businesses. Under the MSC program, both fisheries and seafood businesses can get certified if they meet the MSC Fisheries or Chain of Custody Standards. The criteria were jointly developed with 200 experts from academia, fishery, and environmental conservation. The MSC standards were developed in accordance with practice guidelines for standard-setting organizations, as set out by ISEAL and FAO (Code of Conduct for Responsible Fisheries). Currently 317 fisheries in 36 countries have been certified as sustainable against the MSC Fisheries Standard, and about 3,500 Chain of Custody certificates are issued.",,,,,2,3,2,3,no evaluation*,,,no evaluation*,,,,red/yellow mix,no evaluation*,no evaluation*
Rainforest Alliance,Rainforest Alliance (RA),"Rainforest Alliance was developed in 1986 in New York to counter the progressing deforestation of the rain forest. Since 1990, the organisation issues certificates for sustainable agriculture (bananas, coffee, cocoa, etc.) or for tourism. Rainforest Alliance supported the foundation of the Forest Stewardship Council (FSC) in 1993, and the Sustainable Agriculture network (SAN) in 1999, and is a founding member of ISEAL. SAN and Rainforest Alliance co-won the certification system. While SAN is primarily responsible for developing the standards and related guideline, Rainforest Alliance is the owner of the label Rainforest Alliance CertifiedTM. To become certified businesses need to fulfill the SAN-Standard. Certification applies to the whole agricultural plant, not only for specific products. The main aim of the initiative is to protect the rain forests and its biodiversity, as well as to mitigate climate change and to reduce poverty amongst indigenous populations who depend upon rain forests. To date almost one million businesses were certified according to the SAN-Standard. More than 95% of these are small farmers.",,,,,0,3,4,3,3,5,3,2,4,1,,red/yellow mix,green/yellow,yellow
RSPO,Roundtable on Sustainable Palm Oil (RSPO),"The Roundtabel on Sustainable Palm Oil (RSPO) was initiated by WWF and Unilever and founded in 2004 in Switzerland. The RSPO is a non-profit organisation with more than 3,000 members from 88 countries. It is a multi-stakeholder-initiative which represents different branches of the palm oil industry as well as environmental and human rights NGOs. The aim of the initiative is an ecologically and socially sustainable production of palm oil. Currently RSPO-certified palm oil holds a 17% share of produced palm oil worldwide, while more than 90% of it comes from Indonesia and Malaysia.",,,,,2,3,4,5,2,2,3,2,3,1,,yellow,yellow,yellow
UTZ,UTZ,"The Dutch coffee producer „Ahold Coffee Company“ which is part of the Food-Group-Ahold, founded the UTZ program with the support of Utz-Kapeh (“good coffee” in Maya-Quiché) and coffee farmers from Guatemala. In 2002 Utz became an independent foundation with headquarters in Amsterdam. In the same year UTZ sold the first certified coffee. In 2007 the organisation re-named as UTZ Certified, and extended its operation to include also tea and cocoa. In 2014 a program for hazelnuts was initiated and in 2016 UTZ certified changed to UTZ, because other programs than certification, like work related to climate change, child labour or promotion of living wages on sectoral level were included. The criteria are based on the private-label GLOBALG.A.P. for good agricultural practices. The traceability and transparency system goes beyond the standards requirements.",,,,,0,4,4,3,4,2,2,3,2,2,,yellow,yellow,yellow
