Category ID,Category-Name,Sub-Category ID,Sub-Category Name,Criteria ID,Criteria Name,Criteria Question,Action ID,Englisch,Deutsch,Scores for Measures,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ,Alnatura,AMA-Biozeichen (rot/weiß),AMA-Gütesiegel,Bio Austria,Bio vom Berg,Demeter,ECHT B!O,Ja Natürlich,Natürlich für uns (Zielpunkt),Natur aktiv (Hofer),Pro Planet – weitere Produkte,Spar Natur Pur,Tierwohl verbessert,Tierwohl kontrolliert,Zurück zum Ursprung,Blühendes Österreich,Ich bin Österreich,Rapunzel,GEPA,"Pro Planet Obst, Gemüse, Eier und Wein"
1,Credibility,1.3,Sustainability Audits,1.3.1,Control Bodies,Who monitors the implementation of criteria?,1.3.1.2,Audits are conducted by a third-party service provider or a independent verification,Audits werden von einem Dienstleistungsunternehmen als Drittpartei oder über eine unabhängige Prüfung durchgeführt.,2,,2,,2,,,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,,,2,,2,2,2,2
1,Credibility,1.3,Sustainability Audits,1.3.2,Audit frequency,At least how often do clients undergo a (external) full audit process?,1.3.2.1,full external audit required every 3-5 years,Ein vollständiges externes Audit muss alle 3-5 Jahre erfolgen.,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.3,Sustainability Audits,1.3.2,Audit frequency,At least how often do clients undergo a (external) full audit process?,1.3.2.2,full external audit required every 1-2 years,Ein vollständiges externes Audit muss alle 1-2 Jahre erfolgen.,2,,,,,,,,,,,2,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,2,2,2,2
1,Credibility,1.6,Stakeholder participation,1.6.3,Interview with workers,Does the auditing process involve interviews with workers? Are interviews carried out on-site or off-site?,1.6.3.1,"Workers are interviewed as part of the audit process, but the interviews are carried out mainly on-site at the production facility.","Arbeitskräfte werden als Teil des Audit-Prozesses befragt, die Befragungen finden jedoch meistens vor Ort an der Produktionsstätte statt.",1,,1,,,,,1,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.6,Stakeholder participation,1.6.3,Interview with workers,Does the auditing process involve interviews with workers? Are interviews carried out on-site or off-site?,1.6.3.2,Workers must be interviewed as part of the audit process. Interviews or at least some of the interviews must be carried out off-site or without management being present,Arbeitskräfte müssen als Teil des Audit-Prozesses befragt werden. Alle oder zumindest einige der Befragungen müssen an einem anderen Ort als der Produktionsstätte oder ohne Beisein von Personen der Management-Ebene erfolgen.,2,,,2,,,,,2,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
1,Credibility,1.6,Stakeholder participation,1.6.4,Stakeholder participation in audit,Are auditors required to solicit external stakeholder input (like local trade unions or NGOs) during the audit process?,1.6.4.1,External stakeholder input from local trade unions and/or NGOs is recommended/optional during audits,Beiträge externer Stakeholder wie lokaler Gewerkschaften und/oder NGOs werden empfohlen/sind während Audits optional.,1,1,,1,,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,
1,Credibility,1.6,Stakeholder participation,1.6.4,Stakeholder participation in audit,Are auditors required to solicit external stakeholder input (like local trade unions or NGOs) during the audit process?,1.6.4.2,External stakeholder input from local trade unions and/or NGOs is required during audits,Beiträge externer Stakeholder wie lokaler Gewerkschaften und/oder NGOs sind während der Audits erforderlich.,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,2,2,
1,Credibility,1.4,Supporting Strategies,1.4.1,"Compliance Technical Assistance, beyond technical and Access to finance",Does the scheme provide access to technical assistance for compliance with the standard?  Does the scheme provide access to technical assistance beyond compliance with the standard? Does the scheme provide access to finance for enterprises seeking certification?,1.4.1.1,The scheme provides access to technical or financial assistance for compliance with the standard.,Das Gütesiegel ermöglicht Zugang zu technischer oder finanzieller Unterstützung für die Einhaltung des Standards.,1,1,1,1,1,1,1,1,1,,,,1,1,,1,1,1,1,1,1,,,,,1,,,,,,,,,,1,,1,1,1
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.1,Traceability Supply Chain,Does the scheme have a traceability system that enables checking of product flow between links of the supply chain?,1.5.1.1,A traceability system is in place but it is (1) not or only in part publicly available OR based on mass balance only,"Es gibt ein Nachverfolgungssystem, aber dieses ist (1) nicht oder nur zum Teil öffentlich zugänglich ODER basiert ausschließlich auf der Massenbilanz.",1,1,,1,,,1,1,,,1,,1,,1,1,1,1,,1,1,1,1,1,1,,1,,,,,1,,,,,,,,
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.1,Traceability Supply Chain,Does the scheme have a traceability system that enables checking of product flow between links of the supply chain?,1.5.1.2,"A traceability system shelf to farm is in place, compulsory and publicly available (e.g. on website).",Es gibt ein Nachverfolgungssystem vom Hof bis zum Regal dieses ist verpflichtend und öffentlich zugänglich (z.B. auf einer Webseite).,2,,,,2,,,,,,,2,,2,,,,,,,,,,,,2,,2,2,2,,,2,2,2,,2,2,2,2
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.2,Transparency,Are audit reports or audit results available to the public?,1.5.2.1,"Audit reports are not available to the public, but a general summary of the report and/or audit results is available to the public.","Audit-Berichte sind nicht für die Öffentlichkeit zugänglich, es gibt jedoch eine veröffentlichte allgemeine Zusammenfassung des Berichts und/oder der Audit-Ergebnisse.",1,,1,1,,,,,,,,,1,,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,1,
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.2,Transparency,Are audit reports or audit results available to the public?,1.5.2.2,Audit reports and audit results are available to the public.,Audit-Berichte und Audit-Ergebnisse werden der Öffentlichkeit zugänglich gemacht.,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.3,Consumer Communication: claims,How large a portion of raw materials must be in accordance with criteria before a claim of responsibility can be made?,1.5.3.1,"A consumer product can carry the scheme’s logo or a text that references it, when the product is at least 30 per cent certified or audited.","Produkte können nur dann das Logo des Siegels  oder einen Text tragen, der darauf verweist, wenn das Produkt zumindest zu 30 % zertifiziert oder geprüft ist.",1,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.5,"Traceability, Transparency & Consumer Communication",1.5.3,Consumer Communication: claims,How large a portion of raw materials must be in accordance with criteria before a claim of responsibility can be made?,1.5.3.2,A consumer product can carry the scheme’s logo only when at least 95% raw materials are certified.,"Ein produkt darf das Logo des Prüfmodells nur dann tragen, wenn zumindest 95 % der Rohmaterialien zertifiziert sind.",2,,,,,,,,,,,2,2,2,,,2,,,,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,,,2,2,2
2,Environment,2.1,Use of chemicals and pesticides,2.1.1,Use of hazardous chemicals,"Does the scheme prohibit or restrict the use of hazardous chemicals as defined by international conventions (Stockholm and Rotterdam convention, WHO class 1a and 1b, REACH candidate list)?",2.1.1.1,The use of hazardous chemicals is restricted and  recommendations exist to phase out the use of such substances,Der Einsatz gefährliche Chemikalien wird eingeschränktt und es liegen Empfehlungen zum schrittweisen Ausstieg aus der Verwendung solcher Substanzen vor.,1,,,,,1,,,,1,,,1,1,,1,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1
2,Environment,2.1,Use of chemicals and pesticides,2.1.1,Use of hazardous chemicals,"Does the scheme prohibit or restrict the use of hazardous chemicals as defined by international conventions (Stockholm and Rotterdam convention, WHO class 1a and 1b, REACH candidate list)?",2.1.1.2,The use of hazardous chemicals is prohibited,Der Einsatz gefährlicher Chemikalien ist untersagt.,2,,,,,,,,,,,2,,,,,,,,,2,2,,2,2,2,2,2,2,2,,2,,,2,,,2,,
2,Environment,2.1,Use of chemicals and pesticides,2.1.2,Use of pesticides,Does the scheme include criteria on Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides?,2.1.2.1,The scheme  requires Integrated Management or other ways to systematically reduce the use of chemical inputs (pesticides & fertilizers),Das Gütesiegel verlangt integrierten Pflanzenschutz oder andere Wege zur systematischen Reduktion des Einsatzes von Chemikalien (Pflanzenschutz- & Düngemittel).,1,,,,1,,1,,,1,,,1,1,1,1,,1,1,1,,,1,,,,,,,,1,,,,,,,,1,1
2,Environment,2.1,Use of chemicals and pesticides,2.1.2,Use of pesticides,Does the scheme include criteria on Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides?,2.1.2.2,The use of Synthetic chemicals is prohibited,Der Einsatz synthetischer Chemikalien ist untersagt.,2,,,,,,,,,,,2,,,,,,,,,2,2,,2,2,2,2,2,2,2,,2,,,2,,,2,,
2,Environment,2.2,Eco-friendly production,2.2.1,Crop rotation and soil conservation,Does the standard include criteria for soil conservation like crop rotation or other criteria supporting sustainable use of soil?,2.2.1.1,"The scheme requires at least one measure for soil conservation, like crop rotation or other measures like Keyline design, windbreaks, no-till farming","Das Gütesiegel verlangt zumindest eine Maßnahme zum Bodenschutz wie Wechselwirtschaft oder andere Maßnahmen wie Konturpflügen, Windschutz oder Direktsaat.",1,,,,1,,1,,,1,,,,1,,1,,1,,1,,,1,1,,,,1,,,,,,,1,,,,,1
2,Environment,2.2,Eco-friendly production,2.2.1,Crop rotation and soil conservation,Does the standard include criteria for soil conservation like crop rotation or other criteria supporting sustainable use of soil?,2.2.1.2,"The scheme requires an integrated approach for soil conservation with a mix of measures (more then one!) like crop rotation or other measures like Keyline design, windbreaks, no-till farming.","Das Gütesiegel verlangt einen integrierten Ansatz zum Bodenschutz mit einem Maßnahmenpaket (mehr als eine!) wie Wechselwirtschaft oder anderen Maßnahmen wie Konturpflügen, Windschutz oder Direktsaat.",2,,,,,,,,,,,2,2,,,,,,,,2,2,,,2,,2,,2,2,,2,,,,,,2,,
2,Environment,2.2,Eco-friendly production,2.2.6,Biodiversity and Deforestation (6),Does the standard include criteria supporting agricultural bio-diversity?,2.2.6.1,"The scheme recommends at least three measures and requires one to be implemented for the maintenance of biodiversity (e.g. hedgerows, intercropping, fallow land management,...)","Das Gütesiegel empfiehlt zumindest drei Maßnahmen und verlangt, dass zumindest eine davon auf den Schutz der Artenvielfalt ausgerichtet ist (z.B. Hecken, Mischkulturanbau, Brachlandkultur, …).",1,,,,,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,1,1
2,Environment,2.2,Eco-friendly production,2.2.6,Biodiversity and Deforestation (6),Does the standard include criteria supporting agricultural bio-diversity?,2.2.6.2,"The scheme requires a mix (at least three) measures for the maintenance of agricultural biodiversity on and next to the fields (e.g. hedgerows, intercropping, fallow land management,...)","Das Gütesiegel verlangt ein Maßnahmenpaket (aus zumindest drei Maßnahmen) zum Erhalt der landwirtschaftlichen Artenvielfalt auf den Feldern sowie in ihrer unmittelbaren Umgebung (z.B. Hecken, Mischkulturanbau, Brachlandkultur, …).",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Environment,2.2,Eco-friendly production,2.2.2,Biodiversity and Deforestation,"Does the standard exclude areas for which valuable ecosystems (forests, peat,…) have been destroyed?",2.2.2.1,The use of recently  (<5 years) deforested land (or other valuable ecosystems) is prohibited,Die Nutzung von kürzlich (< 5 Jahre) abgeholztem Land (oder die Zerstörung anderen wertvoller Ökosysteme) ist untersagt.,1,,,,,,1,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
2,Environment,2.2,Eco-friendly production,2.2.2,Biodiversity and Deforestation,"Does the standard exclude areas for which valuable ecosystems (forests, peat,…) have been destroyed?",2.2.2.2,Criteria that prevent use of  land that has been deforested in the last 20 (since 1997) years AND criteria that prohibit the destruction of other valuable ecosystems e.g. peat land,"Es gibt Kriterien, die die Nutzung von in den letzten 20 Jahren (ab 1997) abgeholztem Land verhindern, UND Kriterien, die die Zerstörung anderer wertvoller Ökosysteme, z.B. Torflandschaften, verbieten.",2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
2,Environment,2.2,Eco-friendly production,2.2.3,GMOs,Does the scheme prohibit the use of genetically modified organisms (GMOs)?,2.2.3.1,The direst use of GMOs is restricted but allowed in the supply chain or as feed,"Der direkte Einsatz von GVO ist verboten, aber in der Lieferkette oder als Futtermittel erlaubt.",1,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
2,Environment,2.2,Eco-friendly production,2.2.3,GMOs,Does the scheme prohibit the use of genetically modified organisms (GMOs)?,2.2.3.2,The use of GMOs is prohibited in the whole supply chain (including feed in animal products),Der Einsatz von GVO ist in der gesamten Lieferkette untersagt (einschließlich als Futtermittel in tierischen Produkten).,2,,,,,,,,,,,2,2,2,2,2,,2,,,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,,,2,2,2
2,Environment,2.2,Eco-friendly production,2.2.4,Environmental Impact Assessment,Does the scheme include criteria for conducting environmental impact assessments (EIA)?,2.2.4.1,The scheme recommends to conduct a regular EIA,Das Gütesiegel empfiehlt die Durchführung einer regelmäßigen Umweltverträglichkeitsprüfung (UVP).,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,,,,,,,1,,,,1,,,,1,
2,Environment,2.2,Eco-friendly production,2.2.4,Environmental Impact Assessment,Does the scheme include criteria for conducting environmental impact assessments (EIA)?,2.2.4.2,The scheme requires to conduct regular EIA.,Das Gütesiegel verlangt die Durchführung einer regelmäßigen UVP.,2,,,,2,,,,,,,,2,,,,,,2,2,,,,,,,,,,,,,,,,,,2,,2
2,Environment,2.2,Eco-friendly production,2.2.5,Animal Feed (environment),Does the standard include criteria for animal feed?,2.2.5.1,There are limits to the use of concentrated feed (< 50%),Der Einsatz konzentrierter Futtermittel ist mit unter  50 % begrenzt.,1,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,1,1,,1,1,,1,,,,,,1,,
2,Environment,2.2,Eco-friendly production,2.2.5,Animal Feed (environment),Does the standard include criteria for animal feed?,2.2.5.2,There are strong limits (<30%) to the use of concentrated feed and feed has to be regional,Es gibt strikte Grenzen (< 30 %) für den Einsatz konzentrierter Futtermittel und diese Futtermittel müssen regionalen Ursprungs sein.,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,2,2,2,,,,,
2,Environment,2.3,Water/Energy Use and Emissions,2.3.1,Water use,Does the scheme require the monitoring and efficient use of water (and wastewater) in production?,2.3.1.1,monitoring of water is required and efficient use of water recommended,"Die Überwachung des Wasserverbrauchs ist erforderlich, und die effiziente Nutzung von Wasser wird empfohlen.",1,,,,1,1,,,,1,,,,1,,,,,1,1,,1,1,,1,,,,,,,,,,,,,1,,1
2,Environment,2.3,Water/Energy Use and Emissions,2.3.1,Water use,Does the scheme require the monitoring and efficient use of water (and wastewater) in production?,2.3.1.2,the monitoring and efficient use of water is required,Die Überwachung und effiziente Nutzung von Wasser ist erforderlich.,2,,,,,,2,,,,,,2,,,2,,2,,,,,,,,,,,,,,,,,,,,,,
2,Environment,2.3,Water/Energy Use and Emissions,2.3.2,Energy use and emissions monitoring,Does the scheme include criteria on monitoring energy use and/or GHG emissions?,2.3.2.1,The monitoring of energy use and/or GHG emissions is required but  there are no regulations on how to do and document it,"Die Überwachung des Energieverbrauchs und/oder von Treibhausgas- (THG) Emissionen ist erforderlich, aber es gibt keine Regelung zur Durchführung und Dokumentation;",1,,,,,1,,,,1,,,1,1,,1,,1,,1,,1,1,,1,,,,,,,,,,,,,1,,
2,Environment,2.3,Water/Energy Use and Emissions,2.3.2,Energy use and emissions monitoring,Does the scheme include criteria on monitoring energy use and/or GHG emissions?,2.3.2.2,The monitoring of energy use and/or GHG emissions is required AND the method to do so clearly described (or referenced to existing and established methodology).,Die Überwachung des Energieverbrauchs und/oder von THG-Emissionen ist erforderlich UND die Methodik ist klar beschrieben (oder es wird auf eine  bereits etablierte Methodik verwiesen).,2,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2
2,Environment,2.3,Water/Energy Use and Emissions,2.3.3,Energy use and emissions reduction,Does the scheme include criteria on reducing GHG emissions?,2.3.3.1,Recommendations to reduce GHG emissions in the company,Empfehlungen zur Reduktion von THG-Emissionen im Unternehmen.,1,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1
2,Environment,2.3,Water/Energy Use and Emissions,2.3.3,Energy use and emissions reduction,Does the scheme include criteria on reducing GHG emissions?,2.3.3.2,Based on monitoring measures required to reduce GHG OR Criteria included that prevent GHG (e.g. exclusion of fossil fuels to heat glasshouses) in the company,"Basierend auf der Überwachung sind Maßnahmen zur Reduktion von THG erforderlich ODER Kriterien werden integriert, die den Einsatz von THG (z.B. Verbot von fossilen Brennstoffen zur Beheizung von Glashäusern) im Unternehmen unterbinden.",2,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,2,,,,,
2,Environment,2.3,Water/Energy Use and Emissions,2.3.4,Climate-neutral,Does the scheme include criteria on reducing GHG emissions?,2.3.4.1,Measures to capture CO2 (building up of soil carbon or other biomass) or compensate CO2 emissions are required.,Maßnahmen zur Speicherung von CO2 (Akkumulierung von Kohlenstoff im Boden oder in anderer Biomasse) oder zur Kompensation von CO2-Emissionen sind erforderlich.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Environment,2.3,Water/Energy Use and Emissions,2.3.4,Climate-neutral,Does the scheme include criteria on reducing GHG emissions?,2.3.4.2,Measures plus goals to capture CO2 (building up of soil carbon or other biomass)  are required.,Maßnahmen und Ziele zur Speicherung von CO2 (Akkumulierung von Kohlenstoff im Boden oder in anderer Biomasse) sind erforderlich.,2,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,2,,,,,
2,Environment,2.4,Co-Labeling Environment,2.4.1,Co-Labeling Environment,Does the standard requiere Co-Labeling for higher environmental standards?,2.4.1.1,The standard requieres co-labeling that scores at between 30-50% of the criteria defined in the Environment category.,Der Standard verlangt ein zusätzliches Siegel (Co-Labeling) dass in der Kategorie Umwelt  30-50 % der Punkte erreicht,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2,Environment,2.4,Co-Labeling Environment,2.4.2,Co-Labeling Environment,Does the standard requiere Co-Labeling for higher environmental standards?,2.4.2.2,The standard requieres co-labeling that scores at between above 50% of the criteria defined in the Environment category.,Der Standard verlangt ein zusätzliches Siegel (Co-Labeling) dass in der Kategorie Umwelt  über 50 % der Punkte erreicht,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Social,3.1,Living wage / decent income,3.1.1,Living wage / decent income,"Is the payment of a living wage a requirement? If so, how is the criterion implemented?",3.1.1.1,"Payment of a living wage is a requirement, but no sufficient tools exist for the implementation of this criterion or these are only now just being developed.","Die Auszahlung existenzsichernder Löhne (Living Wages) ist eine Voraussetzung, jedoch gibt es keine ausreichenden Mechanismen zur Umsetzung dieses Kriteriums oder diese werden gerade erst entwickelt.",1,,,,,,1,1,1,,,,,,1,1,,1,,1,,,,,,1,,,,,,,,,,,,,,
3,Social,3.1,Living wage / decent income,3.1.1,Living wage / decent income,"Is the payment of a living wage a requirement? If so, how is the criterion implemented?",3.1.1.2,"Payment of a living wage is a requirement, and sufficient tools exist for the implementation of this criterion. In order to assess wage payments, audits have to include working time and payment principles like piece rate wages. Standard schemes have to participate in a dialogue with all relevant stakeholders and set a common framework to assess a living wage. At the same time initiatives to increase wages are necessary.","Die Auszahlung existenzsichernder Löhne (Living Wages) ist eine Voraussetzung, und es gibt ausreichende Mechanismen zur Umsetzung dieses Kriteriums. Um Lohnzahlungen bewerten zu können, müssen Audits Arbeitszeit und Auszahlungsgrundsätze wie Akkordlohnsysteme berücksichtigen. Standard-Prüfmodelle müssen mit allen relevanten Stakeholdern in Dialog treten und gemeinsame Rahmenbedingungen zur Bewertung von existenzsichernden Löhnen schaffen. Gleichzeitig sind Initiativen zur Lohnerhöhung notwendig.",2,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
3,Social,3.1,Living wage / decent income,3.1.2,Sub-contractors and temporary workers,Do the standard's rights and benefits for workers also apply to sub-contracted and/or temporary workers?,3.1.2.1,"Standard's rights and benefits apply to all workers including sub-contractors. Sub-contracted workers need to be granted the same rights as formal employees and producers shall not use sub-contracted labour to avoid their obligations. Though placed under the topic Labour Rights, this includes benefits and rights of other sections (e.g. health and safety), too.","Die Rechte und Leistungen des Standards gelten für alle Arbeitskräfte, auch für Subunternehmer. Arbeitskräfte, die als Subunternehmer beschäftigt sind, müssen über dieselben Rechte verfügen wie reguläre Arbeitnehmer, und es ist Herstellern nicht gestattet, Subunternehmer als Arbeitskräfte zu nutzen, um ihre arbeitsrechtlichen Verpflichtungen zu umgehen. Obwohl dies unter den Punkt Arbeitsrecht fällt, betrifft dies auch Leistungen und Rechte aus anderen Bereichen (z.B. Arbeitsschutz).",1,,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,1,1
3,Social,3.2,Freedom of Association and collective bargaining / complains mechanism,3.2.1,ILO core labour standards,"Does the standard include criteria on freedom of association and the right to organize as described in ILO 87, 98, 100, 184?",3.2.1.1,Core Labour Standards are a compulsory requirement,ILO-Kernarbeitsnormen sind eine verpflichtende Voraussetzung.,1,,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,,,,,,,,,,,1,,,,,,,1,1,1
