Label Name,Food products,Non-food,Product / Organisation,BtoB / BtoC,if retailers own label retailer name,Country name (if country specific) or international,Short description English (Explanation text for the Guide),Short description TRANSLATED (Explanation text for the Guide),Credibility,Environment,Social,Animal Welfare
EU organic,"all types of agricultural raw materials (plants, animals, fish)",,Product,BtoC,,international,"The label is a voluntary national organic certification program initiated and owned by the European Commission. It is based on the Council Regulation (EC) No 834/2007 of 28 June 2007 (and 889/2008) on organic production and labelling of organic products and repealing Regulation (EEC) No 2092/91. It has been implemented since July 2010 and has replaced the old European Organic label. The label aims at promoting organic farming in the EU, and signals to the consumer that at least 95% of the ingredients used in the processed organic food stems from organic origin and 5% considered an acceptable error margin. Requirements are checked by national systems of controls. In addition to the standard list of ingredients and nutritional value figures, organic product labels should bear the name of the producer, processor or distributor who last handled the item. The name or code number of the national certification and control authority is also indicated on the label.","Im Juli 2010 wurde EU-weit ein verbindliches neues Bio-Siegel eingeführt (auch als EU-Bio-Logo bezeichnet), das gemäß EU-Recht hergestellte biologische Lebensmittel kennzeichnet.[2] Durch die Einheitlichkeit soll ein breiter Markt gesichert werden – auch Nicht-EU-Länder richten ihre Verordnungen mittlerweile nach dem Lebensmittelrecht des europäischen Biosiegels aus. Es stellt den Mindeststandard aller in der EU veraufen Bio-Produkte dar. Dabei ist der Einsatz von chemisch-synthethischen Pestiziden oder künstlichen Düngemitteln verboten, in der Tierhaltung gibt es mehr Platz und Auslauf für Tiere. Produkte nach dem EU-Bio-Standard müssen min. 95% zertifizierte Inhaltsstoffe beinhalten.",2,2,1,2
FFL,all,,Product,BtoC,,international,"The Fair for Life Certification Programme has been jointly created in 2006 by the Swiss Bio-Foundation and the Institute for Marketecology (IMO). In September 2014 the ownership of the Fair for Life Programme was transferred from Bio-Foundation to IMOgroup AG. Fair for Life aims to support marginalised producers and workers worldwide to market their products under Fair Trade conditions, in particular smallholder producers who do not yet have access to the existing Fair Trade market. Fair for Life offers two different certification options: One is For Life – Social Responsibility Certification of either companies or products. The other is Fair for Life – Social & Fair Trade Certification of products for producers or traders. Fair for Life brand holder companies commit to fair sourcing practices and responsibilities towards their primary producers down the entire commodity chain. Fair for Life certification also confirms traceability of all certified products from production to sales. The standard was developed in accordance with ILO conventions, FLO standards, SA8000 and the ETI Base Code.","Fair for Life wurde von der Bio-Stiftung Schweiz und dem Institut für Marktökologie entwickelt und enthält eine breite Palette an Kriterien zu Sozial-, als auch eine kleinere Palette zu Umweltstandards. Bio-Landwirtschaft ist dabei kein Muss, konventionelle Bäuerinnen und Bauern müssen jedoch ein Konzept zur Verbesserung ihrer Umweltperformance (z.B. Reduktion des Pestizideinsatzes) darlegen.",2,3,3,1
Fairtrade,"Bananas, cocoa, coffee, sugar, tea, fresh fruit, honey, juices, rice, spices and herbs, wine","cotton, flowers, sport balls, carbon credits, gold",Product,BtoC,,international,"The first Fairtrade organisation was founded in 1988 in the Netherlands under the name of Max Havelaar. By now 24 other national Fairtrade organisations were founded, which are primarily responsible for national marketing. Since 1997 the international umbrella organisation Fairtrade International exists. It is the owner of various Fairtrade-Labels and develops the criteria. The Fairtrade standard for small farmers is product-independent and certifies small farmers (cooperatives). In addition to these criteria Fairtrade has developed product-specific standards that need to be met when producers aim for Fairtrade certification of these products.","Fairtrade ist ein weltweit einheitliches Siegel, dass Produkte aus fairem Handel kennzeichnet. Dabei wird zwischen dem Produkt- und Programmsiegel unterschieden. So beinhaltet z.B. Schokolade, die das Fairtrade-Kakaoprogramm-Siegel trägt, Fairtrade-Kakao, kann jedoch österreichischen Zucker einsetzen. Eine mit dem Fairtrade-Produktsiegel ausgelobte Schokolade, muss sowohl Fairtrade-Kakao, als auch Fairtrade-Zucker enthalten.
Fairtrade beinhaltet neben einer Reihe von Sozialstandards, als auch manche Umweltmaßnahmen wie z.B. solche zur guten fachlichen Praxis in der Landwirtschaft und dem Verbot von gentechnisch veränderten Organismen.",3,2,3,1
FSC,,"Wood, paper",Product,BtoC,,international,"The Forest Stewardship Council (FSC) emerged as an initiative from a group of foresters and forest owners together with timber users, traders and representatives of unions, environmental and human rights organizations in the early 1990s who were concerned about accelerating deforestation, environmental degradation and social exclusion. It was formerly established in the aftermath of the UN Conference on Environment and Development in 1992 and officially founded as legal entity in 1994 in Mexico. FSC is an international membership association governed by its members. FSC sets standards for the development and approval of FSC Stewardship Standards which are based on the FSC Principles and Criteria. This FSC Standards are focusing on the forest management and in a Chain of Custody standard on how the wood is treated when it has left the forests. In addition, FSC sets standards for the accreditation of conformity assessment bodies that certify compliance with FSC’s standards. Currently, 1,442 FM certificates exist in 83 countries, covering a total area of 195,206,770 hectare. Additionally, more than 31,600 Chain of Custody certificates are valid at the moment.",,3,1,1,1
Global Coffee Platform (4C),Coffee,,Product,BtoC,,international,"The Global Coffee Platform (GCP) is a multi-stakeholder-initiative with a headquarters in Bonn. It is based on the 4C-Association and the Sustainable Coffee Program and currently undergoes transition with regard to the Baseline Common Code (BCC). The BCC is not an own standard, but a reference code which aims at ensuring comparability. 4C-Certification is currently conducted by the Coffee Assurance Services and is based on the BCC.",,2,2,2,1
Rainforest Alliance,"Bananas, cocoa, coffee, palm oil, tea",flowers,Product,BtoC,,international,"Rainforest Alliance was developed in 1986 in New York to counter the progressing deforestation of the rain forest. Since 1990, the organisation issues certificates for sustainable agriculture (bananas, coffee, cocoa, etc.) or for tourism. Rainforest Alliance supported the foundation of the Forest Stewardship Council (FSC) in 1993, and the Sustainable Agriculture network (SAN) in 1999, and is a founding member of ISEAL. SAN and Rainforest Alliance co-won the certification system. While SAN is primarily responsible for developing the standards and related guideline, Rainforest Alliance is the owner of the label Rainforest Alliance CertifiedTM. To become certified businesses need to fulfill the SAN-Standard. Certification applies to the whole agricultural plant, not only for specific products. The main aim of the initiative is to protect the rain forests and its biodiversity, as well as to mitigate climate change and to reduce poverty amongst indigenous populations who depend upon rain forests. To date almost one million businesses were certified according to the SAN-Standard. More than 95% of these are small farmers.","„Rainforest Alliance Certified“ wird für Produkte vergeben, deren Anbau vor allem in Regenwaldgebieten stattfindet. Der Kriterienkatalog fordert von teilnehmenden Betriebe von Jahr zu Jahr eine kontinuierliche Verbesserung ein. Diese umfassen vorwiegend Maßnahmen zu Umweltstandards im Anbau, sowie ebenfalls zu Sozialstandards. So werden zahlreiche Maßnahmen zu guter landwirtschaftlichen Praxis gefordert, eine Ausbringung von Pestiziden mit dem Flugzeug ist jedoch nicht untersagt, ebenso nicht wie die Zerstörung von Regenwald. ProduzentInnen wird kein Abnahmepreis garantiert. Produkte dürfen das Rainforest Alliance Siegel tragen, sobald sie mehr als 30% zertifizierte Rohstoffe beinhalten.",2,2,2,1
RSPO,palm oil,,Product,BtoC,,international,"The Roundtabel on Sustainable Palm Oil (RSPO) was initiated by WWF and Unilever and founded in 2004 in Switzerland. The RSPO is a non-profit organisation with more than 3,000 members from 88 countries. It is a multi-stakeholder-initiative which represents different branches of the palm oil industry as well as environmental and human rights NGOs. The aim of the initiative is an ecologically and socially sustainable production of palm oil. Currently RSPO-certified palm oil holds a 17% share of produced palm oil worldwide, while more than 90% of it comes from Indonesia and Malaysia.","Der Roundtable for Sustainable Palm Oil (RSPO) um den Anbau von Palmöl nachhaltiger zu gestalten. Mitglieder dieses Vereins sind NGOs, Unternehmen die Palmöl anbauen, verarbeiten oder handeln und InvestorInnen. Es gibt vier verschiedene Arten der RSPO-Zertifizierung, die sich hauptsächlich durch die Art der Rückverfolgbarkeit (Massenbilanz, Zertifikathandel, etc.) unterscheiden. RSPO umfasst viele Kriterien zu Umwelt- und Sozialstandards (Verbot von GVO, Einhaltung der ILO-Kernarbeitsnormen) und wird regelmäßig von unabhängigen Stellen kontrolliert, wobei die Qualität der Kontrollen oft kritisiert wird. Außerdem bekommt es wichtige Probleme beim Palmölanbau – Regenwaldabholzung und CO2-Ausstoß - nicht in den Griff. Angeprangert wird auch das das schwächste der Vier Zertifikate – Green Palm – ein Etikettenschwindel ist.",1,2,2,1
UTZ,"Coffee, cocoa, tea, hazelnuts",,Product,BtoC,,international,"The Dutch coffee producer „Ahold Coffee Company“ which is part of the Food-Group-Ahold, founded the UTZ program with the support of Utz-Kapeh (“good coffee” in Maya-Quiché) and coffee farmers from Guatemala. In 2002 Utz became an independent foundation with headquarters in Amsterdam. In the same year UTZ sold the first certified coffee. In 2007 the organisation re-named as UTZ Certified, and extended its operation to include also tea and cocoa. In 2014 a program for hazelnuts was initiated and in 2016 UTZ certified changed to UTZ, because other programs than certification, like work related to climate change, child labour or promotion of living wages on sectoral level were included. The criteria are based on the private-label GLOBALG.A.P. for good agricultural practices. The traceability and transparency system goes beyond the standards requirements.","Mit UTZ Certified werden Produkte aus dem globalen Süden wie Kaffee, Tee, Kakao oder Nüsse zertifiziert. Der Code of Conduct von UTZ Certified bezieht sich in seinen Sozialstandards hauptsächlich auf die ILO-Kernarbeitsnormen (International Labour Organisation), nach denen Kinder- oder Zwangsarbeit verboten ist und der gesetzlich festgelegte Mindestlohn bezahlt werden muss. Den ProduzentInnen wird kein Mindestpreis garantiert, Regenwaldrodung wird nicht explizit untersagt. Im Code of Conduct von UTZ Certified wird zwar gute landwirtschaftliche Praxis gefordert, besonders gefährliche Pestizide werden jedoch nicht ausdrücklich verboten. Generell werden weniger handfeste Kriterien von ProduzentInnen verlangt, sondern eher vage Aufforderungen zu nachhaltigerem Anbau. Das Label findet sich bereits auf Produkten, die mindestens 60% zertifizierte Rohstoffe beinhalten.",2,2,2,1
Alnatura,,,,BtoC,,Austria,,"Die Alnatura Produktions- und Handels GmbH wurde im Jahr 1984 in Deutschland gegründet und bietet eine Reihe an biologisch-zertifizierten Bio-Produkten in seinem Sortiment. Die Alnatura-Bio 7-Initiative beschreibt 7 Punkte, die dem Unternehmen wichtig sind. Einen eigenen Kriterienkatalog umfasst diese Initiative jedoch nicht, vielmehr wird darauf geachtet, Produkte zu listen, die von Bio-Verbänden stammen, die strengere Kriterien als die Mindestanforderungen der EU-Bio-Verordnung stellen.",1,2,1,2
AMA-Biozeichen (rot/weiß),,,,BtoC,,Austria,,"Sowohl das rote, als auch das weiße AMA-Biozeichen ist in Österreich das staatliche Gütesiegel für heimische Bio-Produkte. In der Regel enthalten AMA-Bio-Produkte 100% zertifizierte Inhaltsstoffe. Bei verarbeiteten Produkten ist im Vergleich zu EU-Bio-Produkten die Liste erlaubter Zusatzstoffe kürzer. Bei Produkten mit dem roten AMA-Biosiegel stammen alle wertbestimmenden Bestandteile (min. 2/3 der Menge) aus Österreich. Bei einem Bananen-Jogurt stammt demnach die Milch für das Jogurt von österreichischen Kühen, die Bananen naturgemäß nicht.",2,3,1,2
AMA-Gütesiegel,,,,BtoC,,Austria,,"Analog zum AMA-Biosiegel beschreibt das AMA-Gütesiegel die 100%ige österreichische Herkunft der Rohstoffe. Die Kriterien werden vom Umweltministerium erarbeitet. Fleisch darf nur von Tieren stammen, die in Österreich geboren, gefüttert und geschlachtet wurden. Der Einsatz von gentechnisch verändertem Futter ist jedoch erlaubt. Das AMA-Gütesiegel setzt einige wenige Ansprüche an die gue landwirtschaftliche Praxis, Kriterien beziehen sich jedoch hauptsächlich auf Verarbeitungs- und Hygienevorschriften. Verarbeitete Produkte dürfen nur das Siegel führen, wenn die wertbestimmenden Bestandteile aus Österreich stammen",2,1,1,1
Bio Austria,,,,BtoC,,Austria,,"Bio Austria ist der größte Anbauverband österreichischer Biobäuerinnen und -bauern. MitgliederInnen erfüllen zahlreiche Kriterien, die über den Mindeststandard der EU-Bio Verordnung hinausgehen, wie strengere Kriterien bei Art, Ausmaß und Zeitpunkt des Einsatzes von biologischen Pflanzenschutz- und Düngemitteln, zur Erhöhung des Bodenschutzes und der Biodiversität. Futtermittel in der Tierhaltung stammen primär aus Österreich und Rinder bekommen im Vergleich zu gewöhnlichem Bio deutlich weniger Kraftfutter. Ebenso gibt es weitergehende Maßnahmen zu Platz und Ausgestaltung von Ställen.",2,3,1,3
Bio vom Berg,,,,BtoC,M-preis,Austria,,"Bio vom Berg ist die Marke einer Erzeugergenossenschaft Tiroler Biobäuerinnen und -bauern, sowie Handelsmarke des Lebensmittelhändlers MPREIS. Produkte werden nach den Kriterien des AMA-Biosiegels produziert, eigene Kriterien umfasst das Label jedoch nicht. Der Fokus bei Bio vom  Berg liegt auf Regionalität (Tirol).",2,3,1,2
Demeter,,,,BtoC,,Austria,,"Demeter ist ein Anbauverband für Bio-Bäuerinnen und -Bauern, der sich der biologisch-dynamischen Landwirtschaft (gleichzeitiger Betrieb von Pflanzenbau und Tierhaltung) verschreibt. Im Vergleich zur EU-Bio Verordnung dürfen Rinder nicht enthornt werden und ihre Futtermittel mindestens zur Hälfte am eigenen Betrieb angebaut werden. Im Pflanzenbau liegt ein Fokus auf dem Einsatz von alternativwissenschaftlichen Methoden, in verarbeiteten Produkten ist der Einsatz von Zusatzstoffen strenger geregelt. Demeter fordert in seinem Kriterienkatalog eine Entlohnung, die menschenwürdige Arbeit ermöglicht, die jedoch weder näher definiert noch kontrolliert wird.",2,3,1,3
ECHT B!O,,,,BtoC,Penny,Austria,,"Echt B!o ist die Bio-Handelsmarke des Lebensmittelhändlers Penny in Österreich. Produkte entsprechen den Mindestanforderungen der EU-Bio-Verordnung, eigene Kriterien gelten jedoch nicht für die Marke.",1,2,1,2
Ja Natürlich,,,,BtoC,REWE,Austria,,"Ja Natürlich! ist die Bio-Handelsmarke der REWE International AG. Die Umwelt- und Tierwohlstandards liegen bei dem Label deutlich über denen der EU-Bio Verordnung. Der Einsatz bestimmter biologischer Pflanzenschutzmittel ist untersagt bzw. eine Reduktion vorgeschrieben. Es herrscht verpflichtender Weidegang, stark reduzierter Kraftfuttereinsatz und das Verbot der Verfütterung von Soja an Rinder, Schweinen werden Wühl- und Beschäftigungsmöglichkeiten gegeben. Ja Natürlich!-Produkte wie z.B. Bananen müssen zusätzlich Fairtrade-zertifiziert sein.Es wird Wert auf eine reduzierte oder möglichst ökologische Verpackung gelegt.",2,3,2,3
Natürlich für uns (Zielpunkt),,,,BtoC,Zielpunkt,Austria,,"Natürlich ist eine Bio-Handelsmarke, die bei UNIMARKT, MPREIS, Pro Kaufland, Tabor, Welas Park und bei ausgewählten Nah&Frisch Kaufleuten zu finden ist. Produkte entsprechen den Mindestanforderungen der EU-Bio-Verordnung, eigene Kriterien gelten jedoch nicht für die Marke.",1,2,1,2
Natur aktiv (Hofer),,,,BtoC,Hofer,Austria,,"Natur aktiv ist eine Bio-Handelsmarke des Diskonters Hofer. Produkte entsprechen den Mindestanforderungen der EU-Bio-Verordnung, eigene Kriterien gelten jedoch nicht für die Marke.",1,2,1,2
"Pro Planet Obst, Gemüse, Eier und Wein",,,,BtoC,REWE,Austria,,"Die REWE International AG zeichnet in Österreich Produkte aus konventioneller Landwirtschaft aus, bei deren Produktion die Standards GLOBAL GAP und GRASP eingehalten werden. Das Label wird von GLOBAL 2000 mit wissenschaftlicher Expertise betreut, indem von allen liefernden Betrieben Umweltbilanzen berechnet werden, die festgelegte Grenzwerte nicht überschreiten dürfen. Betriebe werden in einem Stakeholderprozess in die Weiterentwicklung des Labels eingebunden und es bestehen Maßnahmen, auf den Einsatz bestimmter Pestizide zu verzichten oder deren Ausbringungsmenge zu verringern. Weitere Maßnahmen sind der Einsatz einer Leichtglasflasche bei Wein und die verpflichtende Freilandhaltung der Legehennen.",3,2,1,3
Pro Planet – weitere Produkte,,,,BtoC,REWE,Austria,,"Ein Produkt, dass das Pro Planet Logo trägt, jedoch nicht Obst, Gemüse, Eier oder Wein aus Österreich ist, unterliegt einem anderen Labelling-Prozess. Dabei werden bei der Auswahl und Vergabe des Labels im Vorfeld Hot Spot Analysen erstellt, die besonders vorrangige ökologische oder soziale Handlungsfelder bei dem jeweiligen Produkt ermitteln. Eine Auflösung eines oder aller Hot Spots ist jedoch für eine Vergabe des Logos nicht zwingend erforderlich. Ob ein Produkt das Pro Planet Logo tragen darf, wird in einem Beirat entschieden, der aus unabhängigen Experten von NGOs zusammengesetzt ist. Da der Hotspot eines Produktes auch durch ein bestehendes Label aufgelöst, hat dies zur Folge, dass Produkte oftmals neben dem Pro Planet Logo auch weitere Labels (sogenanntes Co-Labelling) tragen.",1,1,1,1
Spar Natur Pur,,,,BtoC,Spar,Austria,,"Spar Natur Pur ist die Bio-Handelsmarke des Lebensmittelhändlers Spar. Produkte entsprechen den Mindestanforderungen der EU-Bio-Verordnung, eigene Kriterien gelten jedoch nicht für die Marke.",1,2,1,2
Tierwohl verbessert,,,,BtoC,,Austria,,"Die Gesellschaft !Zukunft Tierwohl!, die vom Wiener Tierschutzverein und dem Verein gegen Tierfabriken (VgT) gegründet wurde, vergibt die Siegel Tierwohl verbessert, -gut, und kontrolliert. Während ""Tierwohl verbessert"" und ""Tierwohl gut"" für Fleisch und tierische Produkte aus konventioneller Landwirtschaft gelten und Standards höher als die gesetzlichen Mindeststandards definiert, wird ""Tierwohl kontrolliert"" (""zwei Hakerl"" und ""drei Hakerl"") für Tiere aus biologischer Landwirtschaft vergeben und übertrifft hier die Mindestanforderungen der EU-Bio Verordnung teilweise bzw. deutlich. Tierwohl kontrolliert mit drei „Hakerl“ stellt den höchsten Anspruch an das Tierwohl, indem z.B. die Laufstallhaltung für Rinder vorgeschrieben ist, sowie eine Gestaltung des Auslaufs für Legehennen, so dass dieser auch jedenfalls von den Tieren genutzt wird.",1,1,1,2
Tierwohl kontrolliert,,,,BtoC,,Austria,,"Die Gesellschaft !Zukunft Tierwohl!, die vom Wiener Tierschutzverein und dem Verein gegen Tierfabriken (VgT) gegründet wurde, vergibt die Siegel Tierwohl verbessert, -gut, und kontrolliert. Während ""Tierwohl verbessert"" und ""Tierwohl gut"" für Fleisch und tierische Produkte aus konventioneller Landwirtschaft gelten und Standards höher als die gesetzlichen Mindeststandards definiert, wird ""Tierwohl kontrolliert"" (""zwei Hakerl"" und ""drei Hakerl"") für Tiere aus biologischer Landwirtschaft vergeben und übertrifft hier die Mindestanforderungen der EU-Bio Verordnung teilweise bzw. deutlich. Tierwohl kontrolliert mit drei „Hakerl“ stellt den höchsten Anspruch an das Tierwohl, indem z.B. die Laufstallhaltung für Rinder vorgeschrieben ist, sowie eine Gestaltung des Auslaufs für Legehennen, so dass dieser auch jedenfalls von den Tieren genutzt wird.",1,1,1,3
Zurück zum Ursprung,,,,BtoC,HOFER,Austria,,"Zurück zum Ursprung ist die Bio-Handelsmarke des Diskonters Hofer. Die Umwelt- und Tierwohlstandards liegen deutlich über denen der EU-Bio Verordnung. Der Einsatz bestimmter biologischer Pflanzenschutzmittel ist untersagt bzw. eine Reduktion vorgeschrieben. Es herrscht verpflichtender Weidegang, stark reduzierter Kraftfuttereinsatz und das Verbot der Verfütterung von Soja an Rinder, Schweinen werden Wühl- und Beschäftigungsmöglichkeiten gegeben. Die Einhaltung der Tierwohlstandards wird bei Zurück zum Ursprung von externer Stelle zusätzlich überprüft (siehe Tierwohl kontrolliert).  Es wird Wert auf eine reduzierte oder möglichst ökologische Verpackung gelegt.",2,3,1,3
Rapunzel,,,,BtoC,,Austria,,"Mit dem Hand in Hand-Siegel lobt das deutsche Unternehmen in Kooperation mit der Deutschen Umwelthilfe Produkte aus biologischer Landwirtschaft aus, bei denen mindestens 50% der Rohstoffe von Hand in Hand Betrieben stammen. Das Siegel beinhaltet neben der Verpflichtung zum kontrolliert biologischen Anbau eine Reihe von Mindestkriterien zur fairen Entlohnung, Arbeits- und Menschenrechten. Es gilt ein Verbot von Brandrodung, sowie der Rodung von Primärwald, nicht jedoch ein ausdrückliches Verbot der Regenwaldzerstörung.",3,3,3,2
GEPA,,,,BtoC,,Austria,,"Die Gesellschaft zur Förderung der Partnerschaft mit der dritten Welt, kurz GEPA, wird von mehreren sozialen bzw. karitativen Einrichtungen betrieben. Der Fokus bei GEPA liegt im Verkauf fair gehandelter Produkte des globalen Südens. Biologisch kontrollierter Anbau ist zwar keine Pflicht, jedoch stammen fast 80% aller GEPA fair+ Produkte aus biologischer Landwirtschaft. Die sozialen Kriterien von GEPA entsprechen einem hohen Anspruch, während ökologische Produktionsbedingungen nur vage beschrieben werden.",3,2,3,1
